trade_date,开盘,close,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-09-15,4078.65,4027.12,4088.81,3998.86,123951196,254367492776.0,2.21,-0.94,-38.24,0.38
2022-09-16,4013.58,3932.68,4019.41,3932.68,137193655,241251840050.3,2.15,-2.35,-94.44,0.42
2022-09-19,3928.42,3928.0,3953.65,3910.31,97719575,183574440581.8,1.1,-0.12,-4.68,0.3
2022-09-20,3945.65,3932.84,3957.55,3921.69,84824134,179248153537.9,0.91,0.12,4.84,0.26
2022-09-21,3921.32,3903.73,3924.39,3884.23,86458391,168939074342.6,1.02,-0.74,-29.11,0.26
2022-09-22,3875.18,3869.34,3900.27,3860.23,80946919,161134102784.4,1.03,-0.88,-34.39,0.25
2022-09-23,3865.1,3856.02,3888.4,3829.69,94342462,172904807364.4,1.52,-0.34,-13.32,0.29
2022-09-26,3829.6,3836.68,3893.32,3827.95,104526031,192906200253.8,1.7,-0.5,-19.34,0.32
2022-09-27,3844.07,3892.3,3893.03,3827.93,88860160,185955247353.4,1.7,1.45,55.62,0.27
2022-09-28,3879.44,3828.71,3879.44,3828.05,86592213,172438042788.2,1.32,-1.63,-63.59,0.27
2022-09-29,3864.32,3827.14,3873.18,3808.65,85654142,171635940007.5,1.69,-0.04,-1.57,0.26
2022-09-30,3833.35,3804.89,3848.6,3801.28,78559966,158692748773.3,1.24,-0.58,-22.25,0.24
2022-10-10,3806.56,3720.94,3807.46,3715.71,102647595,194635904094.3,2.41,-2.21,-83.95,0.31
2022-10-11,3732.02,3727.69,3739.81,3706.06,83944625,166800394853.2,0.91,0.18,6.75,0.26
2022-10-12,3722.87,3784.31,3784.31,3661.53,108089319,210931362291.5,3.29,1.52,56.62,0.33
2022-10-13,3756.42,3752.67,3783.6,3749.64,99018915,198368891548.5,0.9,-0.84,-31.64,0.3
2022-10-14,3783.32,3842.47,3863.23,3780.84,116242293,256551271975.0,2.2,2.39,89.8,0.36
2022-10-17,3822.24,3846.41,3849.62,3809.12,104192019,220488874406.8,1.05,0.1,3.94,0.32
2022-10-18,3865.83,3838.27,3870.22,3831.17,88346907,186556295765.5,1.02,-0.21,-8.14,0.27
2022-10-19,3827.47,3776.53,3840.49,3776.53,81574844,186736408229.7,1.67,-1.61,-61.74,0.25
2022-10-20,3746.58,3754.93,3804.25,3726.79,90290895,203781618922.2,2.05,-0.57,-21.6,0.28
2022-10-21,3753.89,3742.89,3768.69,3724.69,98750038,180686357677.0,1.17,-0.32,-12.04,0.3
2022-10-24,3727.92,3633.37,3762.16,3619.99,130056864,259450743134.0,3.8,-2.93,-109.52,0.4
2022-10-25,3621.94,3627.45,3670.73,3594.7,110953882,219302759596.7,2.09,-0.16,-5.92,0.34
2022-10-26,3633.31,3656.9,3700.88,3633.31,121301548,242453810571.9,1.86,0.81,29.45,0.37
2022-10-27,3667.66,3631.14,3685.08,3631.06,117998675,257473315676.0,1.48,-0.7,-25.76,0.36
2022-10-28,3605.16,3541.33,3618.86,3533.5,118772162,245816451977.6,2.35,-2.47,-89.81,0.36
2022-10-31,3504.51,3508.7,3553.39,3495.95,138465655,256574822102.2,1.62,-0.92,-32.63,0.42
2022-11-01,3519.82,3634.17,3634.17,3517.62,149286698,295089928407.3,3.32,3.58,125.47,0.46
2022-11-02,3620.37,3677.81,3703.47,3610.8,141592919,291648245712.0,2.55,1.2,43.64,0.43
